"ano","semestre","regiao_geografica","complexo_portuario","perfil_da_carga","grupo_de_mercadoria","1201","202","203","201","ano_semestre","periodo"
2022,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4222671.84,0,0,0,"2022-S1º Semestre","Pós-2017"
2018,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4219041.378,0,0,0,"2018-S2º Semestre","Pós-2017"
2024,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4109666.721,0,0,0,"2024-S1º Semestre","Pós-2017"
2022,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4061574.2,0,0,0,"2022-S2º Semestre","Pós-2017"
2016,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4038621.485,0,0,0,"2016-S1º Semestre","Pré-2017"
2022,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4029622.828,0,0,0,"2022-S1º Semestre","Pós-2017"
2016,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4014676.158,0,0,0,"2016-S2º Semestre","Pré-2017"
2011,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3974817.051,0,0,0,"2011-S1º Semestre","Pré-2017"
2017,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3973627.441,0,0,0,"2017-S1º Semestre","Pós-2017"
2013,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3955951.113,0,0,0,"2013-S2º Semestre","Pré-2017"
2017,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3824927.027,0,0,0,"2017-S1º Semestre","Pós-2017"
2022,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3771159.903,0,0,0,"2022-S2º Semestre","Pós-2017"
2025,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3769161.826,0,0,0,"2025-S1º Semestre","Pós-2017"
2017,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3766929.392,0,0,0,"2017-S1º Semestre","Pós-2017"
